Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2016-10-18 00:03:00	636.96	636.96	636.96	636.96	0.4	253.63	636.96
2016-10-18 00:04:00	636.96	636.96	636.96	636.96	0.08	50.51	636.96
2016-10-18 00:05:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:06:00	636.96	636.98	636.96	636.97	2.49	1583.89	636.97
2016-10-18 00:07:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:08:00	636.99	637	636.99	637	1.08	687.51	637
2016-10-18 00:09:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:10:00	637	637	637	637	0.24	150.67	637
2016-10-18 00:11:00	637	637.25	637	637.25	1	637.13	637.13
2016-10-18 00:12:00	637.25	637.25	637.25	637.25	2	1274.5	637.25
2016-10-18 00:13:00	637.25	637.25	635.17	637.25	22.22	14127.44	635.76
2016-10-18 00:14:00	637.23	637.26	637.22	637.26	6.4	4076.07	637.25
2016-10-18 00:15:00	637.26	637.26	637.26	637.26	1	637.26	637.26
2016-10-18 00:16:00	637.25	637.25	637.25	637.25	0.59	373.35	637.25
2016-10-18 00:17:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:18:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:19:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:20:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:21:00	637.23	637.23	637.23	637.23	3.34	2129.17	637.23
2016-10-18 00:22:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:23:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:24:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:25:00	637.23	637.23	635.54	635.54	0.02	12.73	636.56
2016-10-18 00:26:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:27:00	637.25	637.25	637.25	637.25	1.03	656.74	637.25
2016-10-18 00:28:00	637.25	637.25	635.46	635.46	0.89	569.23	637.05
2016-10-18 00:29:00	635.54	637.26	635.54	637.26	8.02	5099.02	635.76
2016-10-18 00:30:00	635.86	635.86	635.86	635.86	0.62	394.11	635.86
2016-10-18 00:31:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:32:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:33:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:34:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:35:00	635.75	635.75	635.75	635.75	0.47	299.5	635.75
2016-10-18 00:36:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:37:00	635.73	635.73	635.73	635.73	0.18	112.35	635.73
2016-10-18 00:38:00	637.24	637.24	637.24	637.24	1.31	831.87	637.24
2016-10-18 00:39:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:40:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:41:00	635.75	635.75	635.7	635.7	0.5	317.87	635.74
2016-10-18 00:42:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:43:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:44:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:45:00	636.86	636.88	636.86	636.88	1.72	1092.29	636.87
2016-10-18 00:46:00	637.26	637.26	637.26	637.26	0.16	104.69	637.26
2016-10-18 00:47:00	635.9	635.9	635.9	635.9	0.03	15.9	635.9
2016-10-18 00:48:00	637.26	637.26	637.26	637.26	0.31	195	637.26
2016-10-18 00:49:00	637.26	637.26	637.26	637.26	0.4	255.37	637.26
2016-10-18 00:50:00	637.26	637.26	637.26	637.26	15.65	9970.09	637.26
2016-10-18 00:51:00	637.26	637.26	637.25	637.25	0.57	364.85	637.25
2016-10-18 00:52:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:53:00	637.26	637.26	637.26	637.26	1.56	991.01	637.26
2016-10-18 00:54:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 00:55:00	637.26	637.26	635.3	637.26	9.43	6009.04	637.24
2016-10-18 00:56:00	637.24	637.24	637.24	637.24	0.16	104.83	637.24
2016-10-18 00:57:00	637.24	637.24	637.24	637.24	0.02	14.61	637.24
2016-10-18 00:58:00	637.24	637.25	637.24	637.24	8.33	5305.39	637.24
2016-10-18 00:59:00	635.95	637.25	635.95	637.24	0.2	126.68	637.04
2016-10-18 01:00:00	637.24	637.24	635.51	637.24	0.34	218.01	635.86
2016-10-18 01:01:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:02:00	637.24	637.24	637.24	637.24	2.27	1447.66	637.24
2016-10-18 01:03:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:04:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:05:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:06:00	637.22	637.67	637.22	637.66	6.94	4423.44	637.44
2016-10-18 01:07:00	637.66	637.66	637.66	637.66	0.65	413.73	637.66
2016-10-18 01:08:00	637.65	637.65	637.65	637.65	0.02	15.88	637.65
2016-10-18 01:09:00	636.2	636.2	636.2	636.2	1.49	948	636.2
2016-10-18 01:10:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:11:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:12:00	637.63	637.63	637.63	637.63	0.08	51.09	637.63
2016-10-18 01:13:00	636.2	636.2	636.2	636.2	0.01	8.22	636.2
2016-10-18 01:14:00	637.63	637.63	637.63	637.63	0.11	72.97	637.63
2016-10-18 01:15:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:16:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:17:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:18:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:19:00	636.2	636.2	636.2	636.2	0.02	12.72	636.2
2016-10-18 01:20:00	637.62	637.62	637.62	637.62	0.57	364.85	637.62
2016-10-18 01:21:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:22:00	636.2	636.2	635.65	635.65	4.83	3072.05	635.76
2016-10-18 01:23:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:24:00	637.61	637.61	637.61	637.61	0.07	45.04	637.61
2016-10-18 01:25:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:26:00	637.61	637.61	635.96	635.96	2.32	1476.11	635.97
2016-10-18 01:27:00	637.55	637.55	637.55	637.55	0.03	20.45	637.55
2016-10-18 01:28:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:29:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:30:00	637.46	637.46	637.46	637.46	0.3	190.52	637.46
2016-10-18 01:31:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:32:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:33:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:34:00	637.43	637.43	637.43	637.43	0.4	253.86	637.43
2016-10-18 01:35:00	637.43	637.43	635	635	100.04	63533.74	635.09
2016-10-18 01:36:00	636.93	636.93	636.88	636.88	0.74	472.59	636.92
2016-10-18 01:37:00	635.22	636.84	634	636.81	100.03	63526.04	635.06
2016-10-18 01:38:00	636.65	636.65	636.65	636.65	0.17	110.78	636.65
2016-10-18 01:39:00	636.5	636.5	636.5	636.5	2.14	1361.73	636.5
2016-10-18 01:40:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:41:00	636.1	636.1	636.1	636.1	0.03	19.08	636.1
2016-10-18 01:42:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:43:00	636.34	636.34	636.23	636.23	2.62	1666.07	636.26
2016-10-18 01:44:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:45:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:46:00	635.97	635.97	635.97	635.97	0.02	14.18	635.97
2016-10-18 01:47:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:48:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:49:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:50:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:51:00	635.94	635.94	635.94	635.94	0.64	409.19	635.94
2016-10-18 01:52:00	635.94	635.94	635.94	635.94	0.36	229.33	635.94
2016-10-18 01:53:00	633.99	635.94	633.99	635.94	0.36	228.61	635.85
2016-10-18 01:54:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:55:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:56:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:57:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 01:58:00	634.22	634.22	634.22	634.22	0.35	221.98	634.22
2016-10-18 01:59:00	634.28	634.28	634.28	634.28	0.01	5.59	634.28
2016-10-18 02:00:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:01:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:02:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:03:00	635.94	635.94	635.94	635.94	0.01	7.3	635.94
2016-10-18 02:04:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:05:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:06:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:07:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:08:00	634.97	634.97	634.97	634.97	2.06	1306.77	634.97
2016-10-18 02:09:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:10:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:11:00	635.94	636.76	635.94	636.76	0.23	146.66	636.3
2016-10-18 02:12:00	636.73	636.73	636.73	636.73	0.27	171.35	636.73
2016-10-18 02:13:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:14:00	636.57	636.57	636.57	636.57	0.47	297.48	636.57
2016-10-18 02:15:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:16:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:17:00	636.54	636.54	636.54	636.54	0.1	61.17	636.54
2016-10-18 02:18:00	636.54	636.7	636.54	636.7	0.28	179.38	636.56
2016-10-18 02:19:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:20:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:21:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:22:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:23:00	636.73	636.75	636.51	636.51	2.04	1297.84	636.73
2016-10-18 02:24:00	636.9	636.9	636.9	636.9	0.9	571.54	636.9
2016-10-18 02:25:00	636.98	636.98	636.98	636.98	1.1	702.35	636.98
2016-10-18 02:26:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:27:00	636.52	636.52	636.52	636.52	0.09	55.76	636.52
2016-10-18 02:28:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:29:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:30:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:31:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:32:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:33:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:34:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:35:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:36:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:37:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:38:00	636.51	636.51	636.51	636.51	0.07	43.41	636.51
2016-10-18 02:39:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:40:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:41:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:42:00	636.61	636.61	636.61	636.61	0.05	30.68	636.61
2016-10-18 02:43:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:44:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:45:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:46:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:47:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:48:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:49:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:50:00	636.51	636.51	635.22	635.22	67.67	42985.82	635.24
2016-10-18 02:51:00	635.22	635.22	635.22	635.22	28.91	18364.28	635.22
2016-10-18 02:52:00	635.22	635.22	635.2	635.22	4.17	2648.55	635.22
2016-10-18 02:53:00	635.22	635.22	635.22	635.22	1.75	1114.68	635.22
2016-10-18 02:54:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:55:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 02:56:00	636.86	636.86	636.86	636.86	0.09	57.95	636.86
2016-10-18 02:57:00	636.95	636.95	636.95	636.95	0.07	43.34	636.95
2016-10-18 02:58:00	636.78	636.78	636.78	636.78	0.76	485.85	636.78
2016-10-18 02:59:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:00:00	636.84	636.84	636.84	636.84	0.28	181.5	636.84
2016-10-18 03:01:00	636.88	636.95	636.86	636.95	0.7	445.04	636.88
2016-10-18 03:02:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:03:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:04:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:05:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:06:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:07:00	636.94	636.94	636.94	636.94	0.02	15.29	636.94
2016-10-18 03:08:00	636.92	636.92	636.92	636.92	0.41	263.88	636.92
2016-10-18 03:09:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:10:00	636.95	636.95	636.95	636.95	0.03	19.75	636.95
2016-10-18 03:11:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:12:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:13:00	636.85	636.85	636.83	636.83	0.81	518.51	636.85
2016-10-18 03:14:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:15:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:16:00	636.58	636.58	636.58	636.58	0.08	51.1	636.58
2016-10-18 03:17:00	635.36	635.36	635.29	635.29	2.99	1900.85	635.32
2016-10-18 03:18:00	635.36	636.85	635.36	636.85	2.22	1410.08	635.7
2016-10-18 03:19:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:20:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:21:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:22:00	636.79	636.79	636.74	636.74	1.07	680.38	636.77
2016-10-18 03:23:00	636.84	636.84	636.84	636.84	0.04	22.29	636.84
2016-10-18 03:24:00	635.29	636.71	635.29	636.71	0.73	462.72	635.96
2016-10-18 03:25:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
2016-10-18 03:26:00	1.7e+308	1.7e+308	1.7e+308	1.7e+308	Infinity	Infinity	Infinity
